,image_link,group_id,entity_name,entity_value,numeric_value,unit
0,https://m.media-amazon.com/images/I/71aNMBP+91L.jpg,529606,item_weight,4 candela,4.0,candela
1,https://m.media-amazon.com/images/I/813ni+FIp5L.jpg,529606,item_weight,4 candela,4.0,candela
2,https://m.media-amazon.com/images/I/61WCoQB6qHL.jpg,529606,item_weight,50 candela,50.0,candela
3,https://m.media-amazon.com/images/I/71rlk385jvL.jpg,529606,item_weight,100 candela,100.0,candela
4,https://m.media-amazon.com/images/I/91dRUezSrzL.jpg,529606,item_weight,6 candela,6.0,candela
5,https://m.media-amazon.com/images/I/91yahqO1CTL.jpg,529606,item_weight,6 candela,6.0,candela
6,https://m.media-amazon.com/images/I/61zivUSysoL.jpg,529606,item_weight,20 candela,20.0,candela
7,https://m.media-amazon.com/images/I/51YyuSDmiFL.jpg,529606,item_weight,6 candela,6.0,candela
8,https://m.media-amazon.com/images/I/81gBK1GEc-L.jpg,529606,item_weight,4 candela,4.0,candela
9,https://m.media-amazon.com/images/I/716ayT-rLXL.jpg,529606,item_weight,2 candela,2.0,candela
10,https://m.media-amazon.com/images/I/61UdkAczj1L.jpg,529606,item_weight,10 candela,10.0,candela
11,https://m.media-amazon.com/images/I/61paQltXJuL.jpg,529606,item_weight,100 candela,100.0,candela
12,https://m.media-amazon.com/images/I/71AmeckVVaL.jpg,529606,item_weight,25 candela,25.0,candela
13,https://m.media-amazon.com/images/I/712U2QGoo9L.jpg,529606,item_weight,4 candela,4.0,candela
14,https://m.media-amazon.com/images/I/81dnmYY-SsL.jpg,529606,item_weight,6 candela,6.0,candela
15,https://m.media-amazon.com/images/I/61KDSayFW6L.jpg,529606,item_weight,100 candela,100.0,candela
16,https://m.media-amazon.com/images/I/61RZE9c+HfL.jpg,529606,item_weight,50 candela,50.0,candela
17,https://m.media-amazon.com/images/I/81-8xIBKuVL.jpg,529606,item_weight,6 candela,6.0,candela
18,https://m.media-amazon.com/images/I/81H3Ouw573L.jpg,529606,item_weight,4 candela,4.0,candela
19,https://m.media-amazon.com/images/I/61kE2eltMVL.jpg,529606,item_weight,1 candela,1.0,candela
20,https://m.media-amazon.com/images/I/81+ytn8bccL.jpg,529606,item_weight,1897 candela,1897.0,candela
21,https://m.media-amazon.com/images/I/719gslw98eL.jpg,529606,item_weight,4 candela,4.0,candela
22,https://m.media-amazon.com/images/I/516TBVyYfFL.jpg,529606,item_weight,91 candela,91.0,candela
23,https://m.media-amazon.com/images/I/71tY-nyZtkL.jpg,529606,item_weight,50 candela,50.0,candela
24,https://m.media-amazon.com/images/I/514pNsHeexL.jpg,529606,item_weight,1.04 candela,1.04,candela
25,https://m.media-amazon.com/images/I/71A4GM-FGfL.jpg,529606,item_weight,4 candela,4.0,candela
26,https://m.media-amazon.com/images/I/81dSOHiLacL.jpg,529606,item_weight,10 candela,10.0,candela
27,https://m.media-amazon.com/images/I/81zE9fkSzGL.jpg,529606,item_weight,4 candela,4.0,candela
28,https://m.media-amazon.com/images/I/810JnkrxfES.jpg,299791,item_weight,11.15 carat,11.15,carat
29,https://m.media-amazon.com/images/I/81UAxTTx-lL.jpg,299791,item_weight,14.81 carat,14.81,carat
30,https://m.media-amazon.com/images/I/71qO6uqDSGL.jpg,524635,item_weight,3 carat,3.0,carat
31,https://m.media-amazon.com/images/I/51YVqs+K3bL.jpg,281678,item_volume,33.0 centilitre,33.0,centilitre
32,https://m.media-amazon.com/images/I/61Fz1kcYryL.jpg,625842,item_volume,25.0 centilitre,25.0,centilitre
33,https://m.media-amazon.com/images/I/51kPLN4bx3L.jpg,625842,item_volume,25.0 centilitre,25.0,centilitre
34,https://m.media-amazon.com/images/I/61zNQtW3P1L.jpg,557758,item_volume,50.0 centilitre,50.0,centilitre
35,https://m.media-amazon.com/images/I/71u8SEl-cfL.jpg,459516,item_volume,25.0 centilitre,25.0,centilitre
36,https://m.media-amazon.com/images/I/51jdjY2k2SS.jpg,625842,item_volume,33.0 centilitre,33.0,centilitre
37,https://m.media-amazon.com/images/I/51oei9-OIeS.jpg,884560,item_volume,60.0 centilitre,60.0,centilitre
38,https://m.media-amazon.com/images/I/61ermrkPyfL.jpg,884560,item_volume,48.0 centilitre,48.0,centilitre
39,https://m.media-amazon.com/images/I/612arUJu1tL.jpg,369753,item_volume,1.05 centilitre,1.05,centilitre
40,https://m.media-amazon.com/images/I/81KuuUVVx2L.jpg,459516,item_volume,30.0 centilitre,30.0,centilitre
41,https://m.media-amazon.com/images/I/51zH2+nXNiL.jpg,625842,item_volume,33.0 centilitre,33.0,centilitre
42,https://m.media-amazon.com/images/I/81ZujhDhzEL.jpg,884560,item_volume,20.0 centilitre,20.0,centilitre
43,https://m.media-amazon.com/images/I/51Y2z3GAzSL.jpg,281678,item_volume,25.0 centilitre,25.0,centilitre
44,https://m.media-amazon.com/images/I/71jpzXnaTtL.jpg,916768,item_volume,33.0 centilitre,33.0,centilitre
45,https://m.media-amazon.com/images/I/71LetZEFE9L.jpg,281678,item_volume,20.0 centilitre,20.0,centilitre
46,https://m.media-amazon.com/images/I/61qwWK+CBQL.jpg,884560,item_volume,48.0 centilitre,48.0,centilitre
47,https://m.media-amazon.com/images/I/614SUuIBXuL.jpg,369753,item_volume,8.0 centilitre,8.0,centilitre
48,https://m.media-amazon.com/images/I/61tBkbHdV3S.jpg,369753,item_volume,8.0 centilitre,8.0,centilitre
49,https://m.media-amazon.com/images/I/61DKvVv1-RL.jpg,281678,item_volume,15.0 centilitre,15.0,centilitre
50,https://m.media-amazon.com/images/I/51T8Z+c2U8L.jpg,625842,item_volume,25.0 centilitre,25.0,centilitre
51,https://m.media-amazon.com/images/I/81ZI3JFaKWL.jpg,369753,item_volume,24.0 centilitre,24.0,centilitre
52,https://m.media-amazon.com/images/I/61ypyTogWXL.jpg,373285,item_volume,33.0 centilitre,33.0,centilitre
53,https://m.media-amazon.com/images/I/71Q2rPvyQTL.jpg,916768,item_volume,100.0 centilitre,100.0,centilitre
54,https://m.media-amazon.com/images/I/61hYUESLQiL.jpg,373285,item_volume,20.0 centilitre,20.0,centilitre
55,https://m.media-amazon.com/images/I/717LsGN9rzL.jpg,625842,item_volume,33.0 centilitre,33.0,centilitre
56,https://m.media-amazon.com/images/I/81yAZEpLSOL.jpg,916768,item_volume,25.0 centilitre,25.0,centilitre
